
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
20,Muktainagar ,1 Chandrakant Nimba Patil,MALE,IND,90698,394,91092,46.42%,290175,
20,Muktainagar ,2 Khadse Rohini Eknathrao,FEMALE,BJP,88367,768,89135,45.43%,290175,
20,Muktainagar ,3 Rahul Ashok Patil,MALE,VBA,9715,36,9751,4.97%,290175,
20,Muktainagar ,4 NOTA,,NOTA,1805,1,1806,0.92%,290175,
20,Muktainagar ,5 Bhagawan Damu Ingale,MALE,BSP,1583,2,1585,0.81%,290175,
20,Muktainagar ,6 Sanju Kadu Ingale,MALE,BMUP,1401,2,1403,0.72%,290175,
20,Muktainagar ,7 Jyoti Mahendra Patil,FEMALE,IND,888,,888,0.45%,290175,
20,Muktainagar ,8 Sanjay Pralhad Kandelkar,MALE,IND,560,,560,0.29%,290175,
 TOTAL : ,,,,,195017,1203,196220,67.62%,,
21,Malkapur,1 Ekade Rajesh Panditrao,MALE,INC,85576,700,86276,46.32%,268718,
21,Malkapur,2 Chainsukh Madanlal Sancheti,MALE,BJP,71352,540,71892,38.60%,268718,
21,Malkapur,3 Dr. Nandurkar Nitin Vasantrao,MALE,VBA,12476,73,12549,6.74%,268718,
21,Malkapur,4 Gawhad Vijay Pralhad,MALE,IND,9868,8,9876,5.30%,268718,
21,Malkapur,5 NOTA,,NOTA,1849,5,1854,1.00%,268718,
21,Malkapur,6 Pramod Yadav Tayade,MALE,BSP,1015,6,1021,0.55%,268718,
21,Malkapur,7 Ab. Majid Qureshi Ab. Kadir,MALE,IND,620,13,633,0.34%,268718,
21,Malkapur,8 Baliram Krushna Dhade,MALE,IND,599,1,600,0.32%,268718,
21,Malkapur,9 Shaikh Aabid Shaikh Bashir,MALE,IND,539,2,541,0.29%,268718,
21,Malkapur,10 Avkash Kailas Borse,MALE,IND,460,4,464,0.25%,268718,
21,Malkapur,11 Pravin Ramesh Gawande,MALE,IND,309,1,310,0.17%,268718,
21,Malkapur,12 Datta Gajanan Yenkar,MALE,IND,235,1,236,0.13%,268718,
 TOTAL : ,,,,,184898,1354,186252,69.31%,,
22,Buldhana,1 SANJAY RAMBHAU GAIKWAD,MALE,SHS,67038,747,67785,37.83%,306272,
22,Buldhana,2 VIJAY HARIBHAU SHINDE,MALE,VBA,41173,537,41710,23.28%,306272,
22,Buldhana,3 HARSHWARDHAN SAPKAL,MALE,INC,30810,506,31316,17.48%,306272,
22,Buldhana,4 YOGENDRA RAJENDRA GODE,MALE,IND,29671,272,29943,16.71%,306272,
22,Buldhana,5 MOHD. SAJJAD ABDUL KHALIK,MALE,AIMIM,3762,30,3792,2.12%,306272,
22,Buldhana,6 ABDUL RAJJAK ABDUL SATTAR,MALE,BSP,2909,5,2914,1.63%,306272,
22,Buldhana,7 NOTA,,NOTA,1072,16,1088,0.61%,306272,
22,Buldhana,8 VIJAY RAMKRUSHNA KALE,MALE,IND,647,3,650,0.36%,306272,
 TOTAL : ,,,,,177082,2116,179198,58.51%,,
23,Chikhli,1 SHWETA VIDYADHAR MAHALE,FEMALE,BJP,92760,755,93515,48.16%,295018,
23,Chikhli,2 BONDRE RAHUL SIDDHAVINAYAK,MALE,INC,86072,633,86705,44.65%,295018,
23,Chikhli,3 ASHOK SHIVSINGH SURADKAR,MALE,VBA,9605,56,9661,4.98%,295018,
23,Chikhli,4 PARVEEN BI SAYYED HARUN,FEMALE,BSP,1105,4,1109,0.57%,295018,
23,Chikhli,5 NOTA,,NOTA,1030,5,1035,0.53%,295018,
23,Chikhli,6 DEVANAND PANDURANG GAWAI,MALE,IND,550,1,551,0.28%,295018,
23,Chikhli,7 RAJENDRA VISHVANATH JAWANJAL,MALE,IND,506,1,507,0.26%,295018,
23,Chikhli,8 ABDUL SALIM ABDUL NOORMOHAMMAD MEMAN,MALE,IND,415,,415,0.21%,295018,
23,Chikhli,9 DADARAO SHRIRAM PADGHAN,MALE,IND,274,,274,0.14%,295018,
23,Chikhli,10 IMRAN KHAN UMAR KHAN,MALE,IND,226,,226,0.12%,295018,
23,Chikhli,11 DAGDUBA SHANKAR SALVE,MALE,IND,184,,184,0.09%,295018,
 TOTAL : ,,,,,192727,1455,194182,65.82%,,
24,Sindkhed Raja,1 DR. RAJENDRA BHASKARRAO SHINGANE,MALE,NCP,80808,893,81701,40.58%,312571,
24,Sindkhed Raja,2 Khedekar Dr.Shashikant Narsingrao,MALE,SHS,72011,752,72763,36.14%,312571,
24,Sindkhed Raja,3 SAVITA SHIVAJI MUNDHE,FEMALE,VBA,39617,258,39875,19.81%,312571,
24,Sindkhed Raja,4 NOTA,,NOTA,1615,1,1616,0.80%,312571,
24,Sindkhed Raja,5 SHIVSHANKAR DATTATRAY WAYAL,MALE,BSP,1311,4,1315,0.65%,312571,
24,Sindkhed Raja,6 BHAGWAT DEVIDAS RATHOD,MALE,IND,916,6,922,0.46%,312571,
24,Sindkhed Raja,7 SHRIKRUSHNA UTTAM DOLAS,MALE,IND,788,1,789,0.39%,312571,
24,Sindkhed Raja,8 Rajendra Uttamrao Shingne,MALE,IND,643,,643,0.32%,312571,
24,Sindkhed Raja,9 Pravin Kumar Shriram More,MALE,IND,621,1,622,0.31%,312571,
24,Sindkhed Raja,10 BHAI VIKAS NANDVE,MALE,IND,615,,615,0.31%,312571,
24,Sindkhed Raja,11 Eknath Narendra Deshmukh,MALE,IND,451,3,454,0.23%,312571,
 TOTAL : ,,,,,199396,1919,201315,64.41%,,
25,Mehkar ,1 Sanjay Bhaskar Raymulkar,MALE,SHS,111024,1014,112038,64.09%,293549,
25,Mehkar ,2 Adv.Anant Sakharam Wankhede,MALE,INC,49592,244,49836,28.51%,293549,
25,Mehkar ,3 Aabarao Shriram Wagh,MALE,VBA,8008,42,8050,4.60%,293549,
25,Mehkar ,4 NOTA,,NOTA,2230,11,2241,1.28%,293549,
25,Mehkar ,5 Anil Devrao Khadse,MALE,BSP,1398,13,1411,0.81%,293549,
25,Mehkar ,6 Manwatkar Laxman Krishnaji,MALE,IND,1238,2,1240,0.71%,293549,
 TOTAL : ,,,,,173490,1326,174816,59.55%,,
26,Khamgaon,1 AKASH PANDURANG FUNDKAR,MALE,BJP,90167,590,90757,45.80%,280436,
26,Khamgaon,2 DNYANESHWAR PURUSHOTTAM PATIL,MALE,INC,73464,325,73789,37.24%,280436,
