
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
226,Shrigonda,10 Pramod Bajirao Kale,MALE,IND,289,5,294,0.14%,311992,
226,Shrigonda,11 Tatyaram Balbhim Ghodake,MALE,BMUP,288,3,291,0.14%,311992,
226,Shrigonda,12 Sunil Shivaji Udamale,MALE,IND,267,,267,0.13%,311992,
 TOTAL : ,,,,,209989,1322,211311,67.73%,,
227,Karjat jamkhed,1 Rohit Pawar,MALE,NCP,134818,1006,135824,56.98%,320843,
227,Karjat jamkhed,2 Prof. Ram Shankar Shinde,MALE,BJP,91815,662,92477,38.80%,320843,
227,Karjat jamkhed,3 Arun Housrao Jadhav,MALE,VBA,3824,25,3849,1.61%,320843,
227,Karjat jamkhed,4 Ram Rangnath Shinde,MALE,IND,2070,,2070,0.87%,320843,
227,Karjat jamkhed,5 NOTA,,NOTA,866,1,867,0.36%,320843,
227,Karjat jamkhed,6 Adv. Patil Sumit Kanhiya,MALE,IND,790,2,792,0.33%,320843,
227,Karjat jamkhed,7 Bhailume Shankar Madhukar,MALE,BSP,586,,586,0.25%,320843,
227,Karjat jamkhed,8 Somnath Bhagchand Shinde,MALE,JALOP,393,,393,0.16%,320843,
227,Karjat jamkhed,9 Adv. Maharudra Narhari Nagargoje,MALE,IND,386,,386,0.16%,320843,
227,Karjat jamkhed,10 Dnyandeo Narhari Supekar,MALE,IND,349,1,350,0.15%,320843,
227,Karjat jamkhed,11 Appasaheb Navnath Palve,MALE,MNS,341,4,345,0.14%,320843,
227,Karjat jamkhed,12 Bajrang Manohar Sarde,MALE,IND,214,,214,0.09%,320843,
227,Karjat jamkhed,13 Govind Laxman Aambedkar,MALE,IND,207,,207,0.09%,320843,
 TOTAL : ,,,,,236659,1701,238360,74.29%,,
228,Georai,1 Pawar Laxman Madhavrao,MALE,BJP,99343,282,99625,38.09%,352375,
228,Georai,2 Vijaysingh Shivajirao Pandit,MALE,NCP,92572,261,92833,35.49%,352375,
228,Georai,3 Badamrao Lahurao Pandit,MALE,IND,50794,100,50894,19.46%,352375,
228,Georai,4 Vishnu Bhagwan Devkate,MALE,VBA,8281,25,8306,3.18%,352375,
228,Georai,5 Bhaurao Durgadas Prabhale,MALE,CPI,1662,,1662,0.64%,352375,
228,Georai,6 Manohar Chimaji Chalak,MALE,IND,1132,1,1133,0.43%,352375,
228,Georai,7 Pawar Laxman Ashok,MALE,IND,1100,,1100,0.42%,352375,
228,Georai,8 Rajendra Ankushrao Dake,MALE,IND,834,,834,0.32%,352375,
228,Georai,9 Pawar Laxmanrao Uttamrao,MALE,IND,812,,812,0.31%,352375,
228,Georai,10 Satish Padmakar Kapse,MALE,BSP,644,3,647,0.25%,352375,
228,Georai,11 Ravsaheb Shankar Chavan,MALE,HAPa,545,,545,0.21%,352375,
228,Georai,12 Vilas Pandurang Gunjal,MALE,IND,506,,506,0.19%,352375,
228,Georai,13 NOTA,,NOTA,476,2,478,0.18%,352375,
228,Georai,14 Laxman Asaram Pawar,MALE,IND,434,,434,0.17%,352375,
228,Georai,15 Pawar Laxman Sudam,MALE,IND,430,,430,0.16%,352375,
228,Georai,16 Rameshwar Keruba Ghorpade,MALE,APoI,405,,405,0.15%,352375,
228,Georai,17 Walmik Baburao Kadam,MALE,PWPI,290,1,291,0.11%,352375,
228,Georai,18 Jadhav Mangal Ambadas,FEMALE,IND,239,,239,0.09%,352375,
228,Georai,19 Ashok Bhagoji Thorat,MALE,IND,237,,237,0.09%,352375,
228,Georai,20 Chandne Dilip Nana,MALE,IND,143,,143,0.05%,352375,
 TOTAL : ,,,,,260879,675,261554,74.23%,,
229,Majalgaon,1 PRAKASH (DADA) SUNDARRAO SOLANKE,MALE,NCP,110872,694,111566,48.86%,331571,
229,Majalgaon,2 RAMESH BABURAO KOKATE (ADASKAR),MALE,BJP,97932,744,98676,43.22%,331571,
229,Majalgaon,3 DHAMMANAND SHANKARRAO SALVE,MALE,IND,4983,22,5005,2.19%,331571,
229,Majalgaon,4 SHAIKH AMAR JAINODDIN,MALE,AIMIM,2790,2,2792,1.22%,331571,
229,Majalgaon,5 EJAJ SHAIKH UMAR SHAIKH,MALE,IND,2095,,2095,0.92%,331571,
229,Majalgaon,6 AMOL VILASRAO DONGARE,MALE,BSP,874,6,880,0.39%,331571,
229,Majalgaon,7 NAIM KARIM SHAIKH,MALE,IND,808,,808,0.35%,331571,
229,Majalgaon,8 NOTA,,NOTA,774,6,780,0.34%,331571,
229,Majalgaon,9 SHIVAJI GANGARAM ZODGE,MALE,IND,712,,712,0.31%,331571,
229,Majalgaon,10 RAJARAM LAXMAN KSHIRSAGAR,MALE,IND,527,,527,0.23%,331571,
229,Majalgaon,11 SHAMSHERKHAN SAHEBKHAN PATHAN,MALE,IND,453,4,457,0.20%,331571,
229,Majalgaon,12 SADEK IBRAHIM SHAIKH,MALE,IND,438,,438,0.19%,331571,
229,Majalgaon,13 RANGNATH NIKAM,MALE,IND,431,,431,0.19%,331571,
229,Majalgaon,14 RAHUL GOVARDHAN FUNNE,MALE,BHYS,409,,409,0.18%,331571,
229,Majalgaon,15 FARUKH PASHA SAYYAD,MALE,IND,406,,406,0.18%,331571,
229,Majalgaon,16 AHEMAD HIRAJI SAYYAD,MALE,IND,360,,360,0.16%,331571,
229,Majalgaon,17 DATTA GULAB JADHAV,MALE,IND,307,,307,0.13%,331571,
229,Majalgaon,18 DESHMUKH CHHATRABHUJ RAMESHWAR,MALE,SBBGP,306,1,307,0.13%,331571,
229,Majalgaon,19 SHAIKH AASIM YUNUS,MALE,IND,291,,291,0.13%,331571,
229,Majalgaon,20 EJAZ BABAR ISMAIL SHAIKH,MALE,IND,245,,245,0.11%,331571,
229,Majalgaon,21 ANAND NAMDEV BHALEKAR,MALE,BALP,220,,220,0.10%,331571,
229,Majalgaon,22 AYUB SHABBIR SHAIKH,MALE,IND,165,,165,0.07%,331571,
229,Majalgaon,23 MUSHTAK MUSTAFA SHAIKH,MALE,TPSTP,144,,144,0.06%,331571,
229,Majalgaon,24 SATYABHAMA BHUJANG SAUNDARMAL,FEMALE,IND,132,,132,0.06%,331571,
229,Majalgaon,25 RAJESHWAR MANIKRAO KATE,MALE,ARP,99,,99,0.04%,331571,
229,Majalgaon,26 SAYYAD ANWAR MUNEER,MALE,IND,84,,84,0.04%,331571,
 TOTAL : ,,,,,226857,1479,228336,68.86%,,
230,Beed,1 Sandeep Ravindra Kshirsagar,MALE,NCP,99231,703,99934,45.16%,335965,
230,Beed,2 Jaydattaji Sonajirao Kshirsagar,MALE,SHS,96989,961,97950,44.26%,335965,
230,Beed,3 Adv.Shaikh Shafik (Bhau),MALE,AIMIM,7937,20,7957,3.60%,335965,
230,Beed,4 Ashok Sukhdev Hinge,MALE,VBA,5503,82,5585,2.52%,335965,
230,Beed,5 Prashant Wasnik,MALE,BSP,960,6,966,0.44%,335965,
230,Beed,6 NOTA,,NOTA,864,10,874,0.39%,335965,
230,Beed,7 Mohammed Qamrul Iman khan Zafar khan Naaz,MALE,IUML,820,,820,0.37%,335965,
230,Beed,8 Osman Jilani Shaikh,MALE,IND,657,,657,0.30%,335965,
230,Beed,9 Vaibhav Chandrakant Kakade,MALE,MNS,596,3,599,0.27%,335965,
230,Beed,10 Tukaram Vyankati Chate,MALE,IND,595,,595,0.27%,335965,
230,Beed,11 Kiran Rajendra Chavan,MALE,IND,574,,574,0.26%,335965,
230,Beed,12 Shaikh Talib Abdul Basit,MALE,IND,546,,546,0.25%,335965,
230,Beed,13 Baban Machindra Khomane,MALE,IND,406,,406,0.18%,335965,
230,Beed,14 Khaled Saleem Rashed Saleem,MALE,PHJSP,303,,303,0.14%,335965,
230,Beed,15 Adv.Sharad Bahinaji Kamble,MALE,VINPA,276,4,280,0.13%,335965,
230,Beed,16 Vishvambhar Jijaba Bansode,MALE,APoI,272,,272,0.12%,335965,
230,Beed,17 Wasim Shaikh Salim Shaikh,MALE,IND,250,,250,0.11%,335965,
230,Beed,18 Riyaz Bashir Shaikh,MALE,IND,226,,226,0.10%,335965,
230,Beed,19 Sadek Subhan Shaikh,MALE,TPSTP,220,,220,0.10%,335965,
230,Beed,20 Gadale Shrikant Vishnu,MALE,BAHUMP,219,,219,0.10%,335965,
230,Beed,21 Rahul Marotirao Waikar,MALE,SBBGP,213,4,217,0.10%,335965,
230,Beed,22 Ashish Ashok Deshmukh,MALE,RASMARP,200,,200,0.09%,335965,
230,Beed,23 Babasaheb Abaji Lambate,MALE,IND,173,,173,0.08%,335965,
230,Beed,24 Ram Mahadev Sapte,MALE,IND,167,,167,0.08%,335965,
230,Beed,25 Akash Sadashiv Wadmare,MALE,IND,162,1,163,0.07%,335965,
230,Beed,26 Balbhim Laxmanrao Jaher Patil,MALE,IND,161,,161,0.07%,335965,
230,Beed,27 Feroj Abdul Shaikh,MALE,IND,155,,155,0.07%,335965,
230,Beed,28 Mohammed Shareef Shaikh Ismail,MALE,IND,142,,142,0.06%,335965,
230,Beed,29 Vachishta Uddhav Kute,MALE,IND,134,,134,0.06%,335965,
230,Beed,30 Shesherao Chokhoba Veer,MALE,IND,121,,121,0.05%,335965,
230,Beed,31 Mahendra Rajendra Borade,MALE,IND,120,,120,0.05%,335965,
230,Beed,32 Mubin Moin Shaikh,MALE,IND,85,,85,0.04%,335965,
230,Beed,33 More Muralidhar Vitthalrao,MALE,IND,78,,78,0.04%,335965,
230,Beed,34 Majiroddin Nasaroddin Kazi,MALE,IND,75,,75,0.03%,335965,
230,Beed,35 Mahmad Husen Shaikh,MALE,IND,70,,70,0.03%,335965,
 TOTAL : ,,,,,219500,1794,221294,65.87%,,
231,Ashti,1 Ajabe Balasaheb Bhausaheb,MALE,NCP,125939,817,126756,52.63%,372321,
231,Ashti,2 Bhimrao Anandrao Dhonde,MALE,BJP,100025,906,100931,41.91%,372321,
231,Ashti,3 Namdev Sugriv Sanap,MALE,VBA,4704,25,4729,1.96%,372321,
231,Ashti,4 NOTA,,NOTA,2626,5,2631,1.09%,372321,
231,Ashti,5 Rajabhau Alias Devidas Ganpat Deshmukh,MALE,LJD,1421,2,1423,0.59%,372321,
231,Ashti,6 Dada Narayan Tastode,MALE,IND,1218,2,1220,0.51%,372321,
231,Ashti,7 Vishnu Jijaba Gadekar,MALE,BSP,1127,5,1132,0.47%,372321,
231,Ashti,8 Dnyandeo Rambhau Thorve,MALE,IND,994,1,995,0.41%,372321,
231,Ashti,9 Kale Tukaram Nana,MALE,APoI,617,2,619,0.26%,372321,
231,Ashti,10 Sanjay Uttamrao Khandekar,MALE,LKSNP,402,,402,0.17%,372321,
 TOTAL : ,,,,,239073,1765,240838,64.69%,,
232,Kaij ,1 NAMITA AKSHAY MUNDADA,FEMALE,BJP,122736,697,123433,53.74%,362430,
232,Kaij ,2 PRUTHVIRAJ SHIVAJI SATHE,MALE,NCP,89640,884,90524,39.41%,362430,
232,Kaij ,3 VAIBHAV VIVEK SWAMI,MALE,VBA,9072,84,9156,3.99%,362430,
232,Kaij ,4 NOTA,,NOTA,1591,7,1598,0.70%,362430,
232,Kaij ,5 PARMESHWAR SITARAM UDAR,MALE,BSP,1353,10,1363,0.59%,362430,
232,Kaij ,6 NILESH NAMDEV ARKE,MALE,TPSTP,792,,792,0.34%,362430,
232,Kaij ,7 MANIK KAMBU GAIKWAD,MALE,LJD,708,8,716,0.31%,362430,
232,Kaij ,8 SHIVAJI JYOTIBA SAVALKAR,MALE,IND,593,,593,0.26%,362430,
232,Kaij ,9 KALE MADHUKAR DAGADU,MALE,IND,485,6,491,0.21%,362430,
232,Kaij ,10 KALUNKE VIKAS RAMBHAU,MALE,IND,294,2,296,0.13%,362430,
232,Kaij ,11 VISHAL GHANSHAM GHOBALE,MALE,IND,272,,272,0.12%,362430,
232,Kaij ,12 GAYABAI BHRA. PRABHU DHIMDHIME,FEMALE,IND,238,,238,0.10%,362430,
232,Kaij ,13 DR. JEETENDRA MAHADEV OVAL,MALE,IND,201,,201,0.09%,362430,
 TOTAL : ,,,,,227975,1698,229673,63.37%,,
233,Parli,1 DHANANJAY PANDITRAO MUNDE,MALE,NCP,121555,559,122114,54.45%,306710,
233,Parli,2 PANKAJA GOPINATHRAO MUNDE,FEMALE,BJP,91031,382,91413,40.76%,306710,
233,Parli,3 BHIMRAO MUNJA SATPUTE,MALE,VBA,4691,22,4713,2.10%,306710,
233,Parli,4 RAISODDIN JAKIYODDIN PATHAN,MALE,IND,1365,,1365,0.61%,306710,
233,Parli,5 BHAGWAT BABANRAO VAIDYA,MALE,VINPA,980,,980,0.44%,306710,
233,Parli,6 ANANT VAIJNATH GAIKWAD,MALE,BSP,628,5,633,0.28%,306710,
233,Parli,7 NOTA,,NOTA,557,4,561,0.25%,306710,
233,Parli,8 BHAGWAT RAMKRUSHN KAKDE,MALE,IND,552,,552,0.25%,306710,
233,Parli,9 EJAZBABAR ISMAIL SHAIKH,MALE,IND,453,,453,0.20%,306710,
233,Parli,10 HIDAYAT SADEKH ALI SAYYAD,MALE,IND,419,,419,0.19%,306710,
233,Parli,11 SIRAJODIN LIYAKAT ALI KAJHI,MALE,IND,264,,264,0.12%,306710,
233,Parli,12 PRAVIN SOPAN MASKE,MALE,IND,202,1,203,0.09%,306710,
233,Parli,13 DR. VASANT RAGHUNATH MUNDE,MALE,IND,159,,159,0.07%,306710,
233,Parli,14 SADEQUE MUNIRODDIN SHAIKH,MALE,TPSTP,144,,144,0.06%,306710,
233,Parli,15 FEROJ KHAN PATHAN KHAIRATI KHAN PATHAN,MALE,IND,110,,110,0.05%,306710,
233,Parli,16 NABISAB SAB SAYYED,MALE,IND,99,,99,0.04%,306710,
233,Parli,17 DHANANJAY SADASHIVRAO DESHMUKH,MALE,IND,90,,90,0.04%,306710,
 TOTAL : ,,,,,223299,973,224272,73.12%,,
234,Latur Rural,1 Dhiraj Vilasrao Deshmukh,MALE,INC,134615,391,135006,67.64%,322330,
234,Latur Rural,2 NOTA,,NOTA,27449,51,27500,13.78%,322330,
234,Latur Rural,3 Sachin alias Ravi Ramraje Deshmukh,MALE,SHS,13459,65,13524,6.78%,322330,
234,Latur Rural,4 Done Manchakrao Baliram,MALE,VBA,12930,36,12966,6.50%,322330,
234,Latur Rural,5 Arjun Dhondiram Waghamare,MALE,MNS,2906,6,2912,1.46%,322330,
234,Latur Rural,6 Babruwan Baliram Pawar,MALE,IND,1490,6,1496,0.75%,322330,
234,Latur Rural,7 Sachin Mahadev Pandhavle,MALE,IND,1016,1,1017,0.51%,322330,
234,Latur Rural,8 Balaji Hanmant Godse,MALE,RASMARP,898,,898,0.45%,322330,
234,Latur Rural,9 Khanderao Limbaji Bhojraj,MALE,BSP,811,2,813,0.41%,322330,
234,Latur Rural,10 Jalil Yasin Atar,MALE,BMUP,661,1,662,0.33%,322330,
234,Latur Rural,11 Shrinivas Angadrao Akangire,MALE,IND,574,2,576,0.29%,322330,
234,Latur Rural,12 Akurike Bajirao Dattatray,MALE,IND,547,,547,0.27%,322330,
234,Latur Rural,13 Dagdusaheb Vyankatrao Padile,MALE,LJGP,494,,494,0.25%,322330,
234,Latur Rural,14 Arvind Mahadev Gade,MALE,IND,491,1,492,0.25%,322330,
234,Latur Rural,15 Gadgale Rajkumar Maroti,MALE,IND,382,1,383,0.19%,322330,
234,Latur Rural,16 Shankar Ganpat Sonwane,MALE,BVA,313,,313,0.16%,322330,
 TOTAL : ,,,,,199036,563,199599,61.92%,,
235,Latur City,1 Amit Vilasrao Deshmukh,MALE,INC,110443,713,111156,52.48%,372474,
235,Latur City,2 Shailesh Govindkumar Lahoti,MALE,BJP,70276,465,70741,33.40%,372474,
235,Latur City,3 Rajasab Bashumiya Maniyar,MALE,VBA,24454,150,24604,11.62%,372474,
235,Latur City,4 Kamble Madhukar Sambhaji,MALE,BSP,742,2,744,0.35%,372474,
235,Latur City,5 NOTA,,NOTA,723,4,727,0.34%,372474,
235,Latur City,6 Laturshree Viththal Alias Shashipankaj,MALE,IND,661,,661,0.31%,372474,
235,Latur City,7 Vikas Jeevan Suryawanshi,MALE,IND,503,,503,0.24%,372474,
235,Latur City,8 Akhicuraheman A.Jalil Momin,MALE,IUML,500,,500,0.24%,372474,
235,Latur City,9 Manojkumar Alias Dinesh Jugalkishor Gilda,MALE,IND,490,,490,0.23%,372474,
235,Latur City,10 Santosh Sambhaji Sabde,MALE,IND,260,,260,0.12%,372474,
235,Latur City,11 Ram Shankar Patole,MALE,BVA,255,1,256,0.12%,372474,
235,Latur City,12 Babasaheb Goroba Sitapure,MALE,IND,179,,179,0.08%,372474,
235,Latur City,13 Dwarkadhish Alias Dinesh Govind Parikh,MALE,IND,159,,159,0.08%,372474,
235,Latur City,14 Bandusing Gulabsing Bhat,MALE,BMUP,152,,152,0.07%,372474,
235,Latur City,15 Jaynjay Surykant Sayhadri,MALE,RASMARP,146,,146,0.07%,372474,
235,Latur City,16 Firojkhan Sajidkhan Pathan,MALE,IND,128,,128,0.06%,372474,
235,Latur City,17 Chhotu Kishanrao Hibare,MALE,IND,118,,118,0.06%,372474,
235,Latur City,18 Shriram Kisanrao Gomare,MALE,IND,93,,93,0.04%,372474,
235,Latur City,19 Alte Vishwanth Mahadev,MALE,IND,87,,87,0.04%,372474,
235,Latur City,20 Pathan Minhaj Khan Asif Khan,MALE,IND,83,,83,0.04%,372474,
 TOTAL : ,,,,,210452,1335,211787,56.86%,,
236,Ahmadpur ,1 BABASAHEB MOHANRAO PATIL,MALE,NCP,83810,826,84636,39.37%,321329,
236,Ahmadpur ,2 JADHAV PATIL VINAYAKRAO KISHANRAO,MALE,BJP,54827,618,55445,25.79%,321329,
236,Ahmadpur ,3 DILIP RAJESAHEB DESHMUKH,MALE,IND,45570,276,45846,21.33%,321329,
236,Ahmadpur ,4 AYODHYA ASHOK KENDRE,FEMALE,VBA,21943,198,22141,10.30%,321329,
236,Ahmadpur ,5 TAHER HUSEN MAINODDIN SAYYED,MALE,AIMIM,1995,1,1996,0.93%,321329,
236,Ahmadpur ,6 NOTA,,NOTA,1759,3,1762,0.82%,321329,
236,Ahmadpur ,7 RIYAZ AHMED NISAR AHMED SIDDIQUI,MALE,IUML,973,,973,0.45%,321329,
236,Ahmadpur ,8 CHANDRAKANT SAHEBRAO JADHAV,MALE,IND,806,,806,0.37%,321329,
236,Ahmadpur ,9 DNYANOBA SOPAN JARIPATKE,MALE,IND,755,,755,0.35%,321329,
236,Ahmadpur ,10 TIGOTE BALAJI SAMBHAJI,MALE,BSP,619,2,621,0.29%,321329,
 TOTAL : ,,,,,213057,1924,214981,66.90%,,
237,Udgir ,1 Bansode Sanjay Baburao,MALE,NCP,95196,1170,96366,53.64%,299139,
237,Udgir ,2 Anil Sadashiv Kamble,MALE,BJP,75053,734,75787,42.18%,299139,
237,Udgir ,3 Atul Abhimanyu Dhaware,MALE,VBA,2573,26,2599,1.45%,299139,
237,Udgir ,4 NOTA,,NOTA,1088,9,1097,0.61%,299139,
237,Udgir ,5 Kashinath Gunaji Kale,MALE,BSP,962,1,963,0.54%,299139,
237,Udgir ,6 Sanjay Sopanrao Kamble,MALE,BVA,496,,496,0.28%,299139,
237,Udgir ,7 Narasinha Pandurangrao Ghone,MALE,IND,454,2,456,0.25%,299139,
237,Udgir ,8 Balaji Keshav Kamble,MALE,BMUP,415,2,417,0.23%,299139,
237,Udgir ,9 Shobha Sushil Motiram,FEMALE,IND,349,,349,0.19%,299139,
237,Udgir ,10 Pradeep Pralhad Kamble,MALE,IND,318,,318,0.18%,299139,
237,Udgir ,11 Dhondiba Irba Namwad,MALE,IND,309,1,310,0.17%,299139,
237,Udgir ,12 Balaji Hiraman Gadkar,MALE,IND,279,2,281,0.16%,299139,
237,Udgir ,13 Kamlakar Prabhakar Kamble,MALE,IND,223,,223,0.12%,299139,
 TOTAL : ,,,,,177715,1947,179662,60.06%,,
238,Nilanga,1 Nilangekar Sambhaji Diliprao Patil,MALE,BJP,96784,540,97324,49.32%,316690,
238,Nilanga,2 Ashokrao Shivajirao Patil Nilangekar,MALE,INC,64855,338,65193,33.04%,316690,
238,Nilanga,3 Arvind Virbhadrappa Bhatambre,MALE,VBA,29636,183,29819,15.11%,316690,
238,Nilanga,4 NOTA,,NOTA,1266,6,1272,0.64%,316690,
238,Nilanga,5 Kamble Rajaram Vitthal,MALE,BSP,906,1,907,0.46%,316690,
238,Nilanga,6 Sastapure Rajkumar Vitthal,MALE,IND,644,8,652,0.33%,316690,
238,Nilanga,7 Shrimant Niwant Usnale,MALE,IND,641,,641,0.32%,316690,
238,Nilanga,8 Ankushrao Shivajirao Patil Honalikar,MALE,RASMARP,478,,478,0.24%,316690,
238,Nilanga,9 Anwarkhan Sattarkhan Pathan,MALE,IND,438,,438,0.22%,316690,
238,Nilanga,10 Shesherao Rama Kamble,MALE,IND,345,,345,0.17%,316690,
238,Nilanga,11 Rameshwar Baburao Suryanwashi,MALE,BVA,249,,249,0.13%,316690,
 TOTAL : ,,,,,196242,1076,197318,62.31%,,
239,Ausa,1 Abhimanyu Dattatray Pawar,MALE,BJP,94905,435,95340,50.89%,283958,
239,Ausa,2 Basavaraj Mahadvarao Patil,MALE,INC,68226,400,68626,36.63%,283958,
239,Ausa,3 Bajrang Bhujangrao Jadhav,MALE,IND,9579,9,9588,5.12%,283958,
239,Ausa,4 Sudhir Shankarrao Potdar,MALE,VBA,8144,24,8168,4.36%,283958,
239,Ausa,5 Abhimanyu Sheshrao Pawar,MALE,SBBGP,1108,3,1111,0.59%,283958,
239,Ausa,6 Manohar Anandrao Patil,MALE,IND,831,,831,0.44%,283958,
239,Ausa,7 Prof. Dr.Anil Sugriv Kamble,MALE,BSP,789,,789,0.42%,283958,
239,Ausa,8 NOTA,,NOTA,781,2,783,0.42%,283958,
239,Ausa,9 Ramkrishn Alias Balaji Manohar Jadhav,MALE,IND,514,,514,0.27%,283958,
239,Ausa,10 Baswaraj Patil,MALE,IND,412,1,413,0.22%,283958,
239,Ausa,11 Akash Prakash Patil,MALE,IND,288,,288,0.15%,283958,
239,Ausa,12 Baswaraj Patil,MALE,IND,278,,278,0.15%,283958,
239,Ausa,13 Pandurang Murlidhar Chewale,MALE,IND,219,,219,0.12%,283958,
239,Ausa,14 Nitin Panditrao Bandgar,MALE,IND,214,2,216,0.12%,283958,
239,Ausa,15 Gousodin Usman Shaikh,MALE,IND,168,2,170,0.09%,283958,
 TOTAL : ,,,,,186456,878,187334,65.97%,,
240,Umarga ,1 Chougule Dnyanraj Dhondiram,MALE,SHS,85828,945,86773,51.27%,297829,
240,Umarga ,2 Bhalerao Dattu Rohidas,MALE,INC,60691,496,61187,36.15%,297829,
240,Umarga ,3 Jalindar Shravan Kokane,MALE,MNS,7782,53,7835,4.63%,297829,
240,Umarga ,4 Ramakant Laxman Gaikwad,MALE,VBA,7419,57,7476,4.42%,297829,
240,Umarga ,5 NOTA,,NOTA,1415,10,1425,0.84%,297829,
240,Umarga ,6 Gaikwad Tanaji Vaijanath,MALE,BSP,1193,6,1199,0.71%,297829,
240,Umarga ,7 Prof.Dr.Suryakant Ratan Chaugule,MALE,IND,813,1,814,0.48%,297829,
240,Umarga ,8 Amol Mohan Kavthekar,MALE,IND,659,2,661,0.39%,297829,
240,Umarga ,9 Ravsaheb Shrirang Sarvade,MALE,IND,637,,637,0.38%,297829,
240,Umarga ,10 Deelip Nagnath Gaikwad,MALE,IND,523,,523,0.31%,297829,
240,Umarga ,11 Sachin Jaihind Dede,MALE,BALP,437,2,439,0.26%,297829,
240,Umarga ,12 Sandeep Dharma Katabu,MALE,BVA,292,1,293,0.17%,297829,
 TOTAL : ,,,,,167689,1573,169262,56.83%,,
241,Tuljapur,1 Ranajagjitsinha Padmasinha Patil,MALE,BJP,98053,981,99034,43.31%,352449,
241,Tuljapur,2 Chavan Madhukarrao Deorao,MALE,INC,75271,594,75865,33.18%,352449,
241,Tuljapur,3 Ashok Haridas Jagdale,MALE,VBA,35153,230,35383,15.47%,352449,
241,Tuljapur,4 Mahendra (Kaka) Dhurgude,MALE,PHJSP,7423,35,7458,3.26%,352449,
241,Tuljapur,5 Mahanandha Rajendra Dudhbhate,FEMALE,IND,1460,,1460,0.64%,352449,
241,Tuljapur,6 Navgire Prashant Prakash,MALE,MNS,1426,5,1431,0.63%,352449,
241,Tuljapur,7 Vishal Bhausaheb Janrao,MALE,IND,1031,,1031,0.45%,352449,
241,Tuljapur,8 Tanveer Ali Sayyad Ali Khatib,MALE,IND,999,1,1000,0.44%,352449,
241,Tuljapur,9 NOTA,,NOTA,956,4,960,0.42%,352449,
241,Tuljapur,10 Anil Netaji Jadhavar,MALE,ABEP,939,,939,0.41%,352449,
241,Tuljapur,11 Adv. Yavalkar Shailendra Rameshwarappa,MALE,BSP,921,3,924,0.40%,352449,
241,Tuljapur,12 Taufik Abbas Patel,MALE,TPSTP,584,,584,0.26%,352449,
241,Tuljapur,13 Tatya Pandharinath Rode,MALE,BALP,567,2,569,0.25%,352449,
241,Tuljapur,14 Navnath Dashrath Uapalekar,MALE,IND,435,,435,0.19%,352449,
241,Tuljapur,15 Datta Sudam Kamble,MALE,IND,432,,432,0.19%,352449,
241,Tuljapur,16 Madhukar Deorav Chavan,MALE,IND,365,1,366,0.16%,352449,
241,Tuljapur,17 Atish Ashok Rasal,MALE,IND,342,2,344,0.15%,352449,
241,Tuljapur,18 Pandurang Dnyanoba Shinde,MALE,IND,228,,228,0.10%,352449,
241,Tuljapur,19 Shaikh Baba Faijoddin,MALE,IND,205,,205,0.09%,352449,
 TOTAL : ,,,,,226790,1858,228648,64.87%,,
242,Osmanabad,1 Kailas Balasaheb Ghadge Patil,MALE,SHS,86576,912,87488,40.43%,353647,
242,Osmanabad,2 Sanjay Prakash Nimbalkar,MALE,NCP,73223,798,74021,34.20%,353647,
242,Osmanabad,3 Ajit Bappasaheb Pingle,MALE,IND,20385,185,20570,9.50%,353647,
242,Osmanabad,4 Dhananjay Gangadhar Shingade,MALE,VBA,15615,140,15755,7.28%,353647,
242,Osmanabad,5 Suresh Sahebrao Patil,MALE,IND,9984,30,10014,4.63%,353647,
242,Osmanabad,6 Dr. Sandip Manikrao Tambare,MALE,SBBGP,2276,13,2289,1.06%,353647,
242,Osmanabad,7 NOTA,,NOTA,1897,10,1907,0.88%,353647,
242,Osmanabad,8 Adv. Ajit (Anna) Vishwanath Khot Patil,MALE,AAAP,1294,4,1298,0.60%,353647,
242,Osmanabad,9 Bhika Sudamrao Vidyagar,MALE,BSP,1093,1,1094,0.51%,353647,
242,Osmanabad,10 Datta Mohan Tupe,MALE,IND,726,,726,0.34%,353647,
242,Osmanabad,11 Siraj Alias Papa Phataru Sayyad,MALE,TPSTP,685,4,689,0.32%,353647,
242,Osmanabad,12 Raghunath Mariba Kasabe,MALE,ABEP,567,,567,0.26%,353647,
 TOTAL : ,,,,,214321,2097,216418,61.20%,,
243,Paranda ,1 Tanaji Jaywant Sawant,MALE,SHS,105993,681,106674,49.62%,314711,
243,Paranda ,2 Rahul Maharudra Mote,MALE,NCP,73131,641,73772,34.32%,314711,
243,Paranda ,3 Suryakant (Suresh Bhau) Chandrakant Kambale,MALE,VBA,27744,195,27939,13.00%,314711,
243,Paranda ,4 NOTA,,NOTA,1898,4,1902,0.88%,314711,
243,Paranda ,5 Mahadeo Shankar Lokhande,MALE,BSP,1088,5,1093,0.51%,314711,
243,Paranda ,6 Gurudas Sambhaji Kamble,MALE,BVA,1008,1,1009,0.47%,314711,
243,Paranda ,7 Sanket Vikramrao Chede,MALE,IND,885,2,887,0.41%,314711,
243,Paranda ,8 Baliram Shankarrao Chede,MALE,IND,502,1,503,0.23%,314711,
243,Paranda ,9 Adv. Revan Vishwanath Bhosale,MALE,JD(S),469,4,473,0.22%,314711,
